#{"t_start": 1681299143.4816067, "env_id": "Walker2d-v2"}
r,l,t
-1.079245,21,17.220434
14.08996,35,17.247677
41.372893,110,17.332981
12.871902,44,17.369349
21.994993,39,17.400246
6.954456,29,17.424386
7.483223,28,17.446146
-2.388836,11,17.454577
27.971525,41,17.491121
11.14932,33,17.518271
1.266494,15,17.529873
35.166594,51,17.569568
6.882056,18,17.583836
6.427171,23,17.601816
43.800261,62,17.650014
9.87102,29,17.67232
7.948208,22,17.68931
7.702729,29,17.71168
29.041394,53,17.752519
55.494149,72,17.808404
59.957472,80,18.061346
5.764636,24,18.081066
44.655518,80,18.1436
5.555585,23,18.161479
33.822049,50,18.200225
198.862609,119,18.293169
33.913596,46,18.328906
154.504019,101,18.40682
-4.47863,13,18.416707
30.739881,41,18.448326
19.918345,55,18.49115
64.171603,78,18.551398
-0.076584,16,18.56383
263.782508,154,18.683266
34.337894,63,18.732927
4.836936,20,18.748677
23.821971,50,18.7876
155.921797,136,18.892472
0.249344,25,18.912002
27.684817,39,18.941977
9.709151,26,18.962054
7.510506,75,19.02013
30.81528,49,19.057984
9.581416,32,19.08287
186.580026,111,19.167538
54.114517,73,19.224187
7.099146,20,19.239721
9.630428,30,19.263146
10.85728,32,19.288345
4.328773,19,19.303441
25.454203,52,19.343727
29.049014,40,19.374406
18.2516,34,19.400978
63.542069,104,19.48151
-0.985329,11,19.490204
9.934296,20,19.505735
-4.985343,10,19.513397
37.585862,74,19.570424
17.138584,80,19.631825
172.506824,139,19.912146
61.583742,88,19.978125
3.612778,22,19.994435
216.199328,145,20.101644
-2.778424,10,20.10925
27.512026,46,20.146418
223.838746,121,20.236775
54.10897,74,20.292188
51.513834,72,20.364122
11.161008,34,20.389807
77.834754,100,20.468141
1.394418,14,20.478757
53.781566,89,20.550182
2.963691,28,20.572684
10.269522,32,20.598042
13.915515,30,20.62239
40.39577,68,20.676537
2.065463,16,20.689092
20.439211,32,20.714009
151.226224,117,20.805151
22.293839,50,20.845031
15.53062,40,20.876687
151.446351,114,20.966618
7.618387,21,20.983068
72.169454,86,21.052376
-3.0801,9,21.06044
9.716367,31,21.085659
3.025673,55,21.128527
26.681628,49,21.167693
267.343982,176,21.305725
122.987469,130,21.408754
27.193626,67,21.641426
-5.299448,18,21.656341
63.172567,109,21.738085
350.403941,262,21.93718
5.270525,19,21.952014
314.257229,191,22.100815
117.162678,187,22.241664
37.314207,75,22.298243
7.427329,25,22.316838
44.563225,60,22.362545
118.239588,124,22.455465
30.552228,51,22.494468
75.394904,99,22.569217
13.469267,23,22.587747
2.504995,16,22.600682
25.892916,37,22.629228
57.269366,93,22.701334
4.917818,16,22.713801
7.839195,31,22.737655
239.322843,152,22.855756
0.551265,15,22.867517
65.789996,76,22.926277
20.942239,41,22.958117
173.456577,106,23.040197
205.563704,120,23.133951
-0.159665,12,23.143162
8.615843,27,23.164186
86.520168,108,23.424697
-2.586265,11,23.433258
13.643393,30,23.456688
94.550752,115,23.545908
2.000913,16,23.558534
267.608554,154,23.67986
190.745201,127,23.778358
68.585253,78,23.839705
108.267663,165,23.967941
78.535033,102,24.047478
202.670159,132,24.149954
222.819528,155,24.267874
263.878811,149,24.385778
6.329478,22,24.403178
-1.299802,13,24.413258
41.866003,68,24.466441
106.791337,134,24.57426
28.444271,46,24.611416
37.470581,54,24.654403
289.909712,194,24.809002
51.324537,99,24.886525
292.296673,199,25.20555
68.7208,105,25.28875
115.586016,121,25.384717
268.833573,159,25.508899
67.773983,84,25.575744
175.508672,105,25.65868
277.213922,223,25.842821
15.474905,36,25.870494
31.100447,48,25.907794
41.575632,69,25.96056
39.457363,100,26.038333
195.863177,121,26.140368
13.015643,45,26.180524
227.366338,140,26.295967
283.266152,196,26.458471
6.304062,24,26.478726
68.048719,98,26.556654
154.877042,98,26.634168
397.75275,267,27.02931
21.177544,42,27.061644
26.337905,37,27.090209
237.280694,149,27.206059
-2.169298,12,27.21503
184.835718,202,27.371294
39.062164,79,27.433695
37.006483,82,27.500317
-4.901302,9,27.507523
54.661355,73,27.56584
-0.214177,21,27.582333
183.341024,173,27.717859
207.321367,121,27.812367
39.763656,73,27.870501
0.995738,19,27.885619
240.267261,140,27.998291
51.060763,63,28.04752
253.019816,144,28.161184
39.447947,58,28.206748
-2.504247,14,28.217738
81.664751,121,28.313874
242.070305,124,28.413172
-8.33442,16,28.426018
7.255971,23,28.444077
243.197968,145,28.563465
-5.386698,18,28.770012
126.823738,149,28.921583
186.330944,116,29.012405
-1.269418,12,29.021766
273.761744,158,29.146234
66.424264,103,29.227303
34.778935,81,29.291193
6.31578,26,29.311658
268.909672,170,29.44439
255.658259,164,29.575013
221.389191,123,29.677313
54.61984,75,29.735542
64.055915,103,29.815901
-0.564668,16,29.828588
380.052306,285,30.051114
56.178774,76,30.107593
3.247687,20,30.121827
18.657787,52,30.159004
268.148828,157,30.281152
119.315018,143,30.405095
22.878396,44,30.646091
20.12493,37,30.675931
18.089282,48,30.715207
317.683434,173,30.860296
19.330334,43,30.893844
332.963163,243,31.085423
333.243871,208,31.248654
322.32728,201,31.405053
93.389111,159,31.529289
25.329284,53,31.570159
5.540937,16,31.583043
5.350306,24,31.602159
332.084704,213,31.76844
14.449301,32,31.793454
98.060403,141,31.90356
0.758148,15,31.915189
197.243281,107,31.998258
190.396401,108,32.083208
180.750915,140,32.192323
317.339656,228,32.544337
316.671648,190,32.703737
-4.058984,13,32.714149
17.982227,33,32.740237
268.720658,185,32.886421
-0.911439,10,32.894334
31.838158,71,32.957264
108.211056,115,33.051095
366.974221,273,33.270311
225.315054,128,33.3727
261.696937,145,33.486832
11.180429,31,33.511021
73.831313,96,33.586401
129.681596,183,33.741345
70.003208,91,33.812648
282.543519,169,33.94716
41.616329,59,33.993609
93.781552,142,34.272087
2.985292,21,34.290375
-4.257164,9,34.297607
301.358726,181,34.439686
251.85699,154,34.560071
268.623475,166,34.691668
262.970911,170,34.826539
387.231657,276,35.042791
109.745343,132,35.14863
299.694695,191,35.301876
-3.382277,11,35.310451
296.129986,245,35.500649
55.047585,81,35.561892
42.059316,80,35.623641
235.430664,122,35.715796
314.178275,237,36.082108
4.592841,25,36.102892
238.895094,129,36.209479
288.064879,183,36.354602
-2.406059,11,36.363557
247.046007,133,36.468632
206.231328,114,36.558745
302.097144,193,36.711281
349.794816,227,36.890181
332.564829,231,37.074733
231.584898,130,37.182109
236.109064,136,37.290597
330.326542,219,37.463928
340.112568,202,37.623196
284.054683,162,37.921683
231.893262,175,38.060194
236.543669,172,38.196625
36.819484,60,38.245353
0.425405,14,38.256004
279.724297,161,38.378765
272.553776,157,38.497865
73.973158,120,38.589225
277.373351,170,38.718714
328.738502,204,38.874538
205.522343,110,38.958216
291.040475,177,39.093045
430.626357,307,39.334527
-5.837274,14,39.345593
251.808379,141,39.648807
253.21918,136,39.754475
267.747387,169,39.885537
329.92054,205,40.042048
4.352225,21,40.057786
291.439738,164,40.183277
34.52946,108,40.267457
3.615447,18,40.281021
140.48168,90,40.348314
296.749542,198,40.502372
0.714757,13,40.512592
256.68358,158,40.635708
247.128229,131,40.737785
341.990445,221,40.910503
257.386861,162,41.038149
336.6916,202,41.343582
321.058698,191,41.494027
0.281706,15,41.505677
295.644024,180,41.648434
192.3365,115,41.737595
321.752737,194,41.891968
304.583537,210,42.057069
370.290629,242,42.248165
10.072715,26,42.268507
-2.836868,9,42.275436
-6.04575,17,42.28868
63.223103,78,42.349888
33.735409,67,42.402231
326.406847,243,42.595151
378.064901,258,42.799326
312.789227,216,43.145603
389.521882,243,43.339146
324.871683,186,43.488202
277.790696,169,43.622241
267.721255,182,43.76758
240.5682,156,43.890671
306.292979,184,44.035788
229.337245,118,44.130468
-1.642485,13,44.140673
154.100017,221,44.316701
2.745015,19,44.331112
355.900488,261,44.533469
317.385801,192,44.68763
268.836672,147,44.966021
33.260036,46,45.001921
244.380472,132,45.104883
54.573709,73,45.162707
243.709452,309,45.406325
349.616304,226,45.58609
248.516908,155,45.708816
396.042658,261,45.914602
396.106478,263,46.125451
188.687926,100,46.203964
3.266033,25,46.223255
316.475597,236,46.407912
81.853973,111,46.495606
301.405711,187,46.827977
