EpLenMean,Tsallis-q,surrgain,entropy,TimeElapsed,entloss,EpThisIter,explained_variance_tdlam_before,optimgain,EpisodesSoFar,EpRewMean,meankl,TimestepsSoFar
314.075,1.0,0.01990766,7.5357647,331.7398521900177,0.0,7,0.9728650562465191,0.01990766,2534,901.715532425,0.012509668,380928
316.7,1.0,0.019740742,7.530548,333.51202058792114,0.0,6,0.9724626000970602,0.019740742,2540,904.4646025,0.010129611,382976
312.8,1.0,0.020257443,7.5318584,335.27252101898193,0.0,7,0.9675233960151672,0.020257443,2547,892.857116075,0.013301161,385024
320.225,1.0,0.01565487,7.530304,337.0082154273987,0.0,5,0.9627474211156368,0.01565487,2552,916.634390775,0.0071088406,387072
317.95,1.0,0.017113924,7.5244446,338.78951954841614,0.0,6,0.978968134149909,0.017113924,2558,926.0899241250002,0.008800149,389120
324.4,1.0,0.04700832,7.5195575,340.5474343299866,0.0,7,0.9643822200596333,0.04700832,2565,945.075914075,0.013881857,391168
327.8,1.0,0.015375682,7.5205398,342.23800587654114,0.0,6,0.981659047305584,0.015375682,2571,961.7730291750001,0.009599538,393216
326.5,1.0,0.03443066,7.52111,343.95258808135986,0.0,7,0.9726834092289209,0.03443066,2578,959.1041717,0.009365421,395264
330.1,1.0,0.013309615,7.522736,345.723984003067,0.0,6,0.9811057634651661,0.013309615,2584,972.2832813750001,0.0116422465,397312
330.1,1.0,0.016636234,7.519684,347.509295463562,0.0,6,0.976765712723136,0.016636234,2590,969.9143809000001,0.009629358,399360
332.775,1.0,0.02296612,7.5174556,349.28368520736694,0.0,6,0.9778961203992367,0.02296612,2596,981.9324682250001,0.013616163,401408
329.1,1.0,0.02330481,7.5191913,351.06868505477905,0.0,6,0.9665401391685009,0.02330481,2602,966.2670409999998,0.0074984413,403456
346.775,1.0,0.02571428,7.516937,352.8139224052429,0.0,4,0.9228562489151955,0.02571428,2606,1015.0658542500001,0.014181859,405504
340.525,1.0,0.020844005,7.5146165,354.59126806259155,0.0,7,0.9742712508887053,0.020844005,2613,994.8227717249999,0.008989599,407552
350.25,1.0,0.02300645,7.5095134,356.36380434036255,0.0,5,0.9524196088314056,0.02300645,2618,1035.2928618,0.010620284,409600
361.675,1.0,0.046593517,7.4994855,358.12989711761475,0.0,5,0.9716457761824131,0.046593517,2623,1058.3754205,0.017051026,411648
